id, label, timepoint, x, y, z, radius, parent_id,cell fate
10138,10139,0, 372.0, 393.0, 65.0, 10.0,-1,
10176,10177,0, 421.0, 393.0, 65.0, 10.0,-1,
10305,10306,0, 341.0, 395.0, 65.0, 10.0,-1,
10375,10376,0, 479.0, 395.0, 65.0, 10.0,-1,
10411,10412,0, 306.0, 396.0, 65.0, 10.0,-1,
10527,10528,0, 458.0, 396.0, 65.0, 10.0,-1,
10627,10628,0, 326.0, 398.0, 65.0, 10.0,-1,
10712,10713,0, 355.0, 400.0, 65.0, 10.0,-1,
10763,10764,0, 441.0, 400.0, 65.0, 10.0,-1,
10854,10855,0, 408.0, 404.0, 65.0, 10.0,-1,
10883,10884,0, 423.0, 407.0, 65.0, 10.0,-1,
10936,10937,0, 214.0, 409.0, 65.0, 10.0,-1,
10965,10966,0, 472.0, 410.0, 65.0, 10.0,-1,
11046,11047,0, 365.0, 414.0, 65.0, 10.0,-1,
11165,11166,0, 440.0, 417.0, 65.0, 10.0,-1,
11212,11213,0, 381.0, 418.0, 65.0, 10.0,-1,
11308,11309,0, 238.0, 420.0, 65.0, 10.0,-1,
11354,11355,0, 256.0, 428.0, 65.0, 10.0,-1,
11426,11427,0, 442.0, 276.0, 70.0, 10.0,-1,
11802,11803,0, 361.0, 282.0, 70.0, 10.0,-1,
12055,12056,0, 458.0, 284.0, 70.0, 10.0,-1,
12304,12305,0, 398.0, 288.0, 70.0, 10.0,-1,
12470,12471,0, 386.0, 299.0, 70.0, 10.0,-1,
12569,12570,0, 330.0, 302.0, 70.0, 10.0,-1,
12620,12621,0, 501.0, 302.0, 70.0, 10.0,-1,
12634,12635,0, 537.0, 308.0, 70.0, 10.0,-1,
12824,12825,0, 300.0, 310.0, 70.0, 10.0,-1,
13116,13117,0, 553.0, 319.0, 70.0, 10.0,-1,
13234,13235,0, 268.0, 320.0, 70.0, 10.0,-1,
13358,13359,0, 258.0, 340.0, 70.0, 10.0,-1,
13419,13420,0, 557.0, 345.0, 70.0, 10.0,-1,
13525,13526,0, 540.0, 347.0, 70.0, 10.0,-1,
13590,13591,0, 575.0, 347.0, 70.0, 10.0,-1,
13677,13678,0, 237.0, 361.0, 70.0, 10.0,-1,
14066,14067,0, 255.0, 362.0, 70.0, 10.0,-1,
14113,14114,0, 544.0, 362.0, 70.0, 10.0,-1,
14183,14184,0, 578.0, 363.0, 70.0, 10.0,-1,
14247,14248,0, 560.0, 366.0, 70.0, 10.0,-1,
14337,14338,0, 528.0, 373.0, 70.0, 10.0,-1,
14468,14469,0, 441.0, 383.0, 70.0, 10.0,-1,
14528,14529,0, 256.0, 390.0, 70.0, 10.0,-1,
14676,14677,0, 524.0, 390.0, 70.0, 10.0,-1,
14706,14707,0, 283.0, 397.0, 70.0, 10.0,-1,
14745,14746,0, 504.0, 398.0, 70.0, 10.0,-1,
14806,14807,0, 490.0, 409.0, 70.0, 10.0,-1,
14852,14853,0, 302.0, 412.0, 70.0, 10.0,-1,
15005,15006,0, 341.0, 414.0, 70.0, 10.0,-1,
